Robot,Status,📑 Payload,Current location,Robot Data,License expiration,🏗️ Deployments,Approximate Ready Date,Robot Notes
Spot 30,Ready,Falcon 31 (https://www.notion.so/Falcon-31-23732e888e428005a8c7ed18279e2f57?pvs=21),Morgan Office,"Serial: spot-BD-52100018
WiFi-Password: ff8buop35ybs
Admin Password: tIqxy3-qymzuk
New Params: Yes","August 11, 2026",,09/26/2025,Morgan
Spot 29,Ready,Falcon 21 (https://www.notion.so/Falcon-21-1d532e888e42807597fffd400818b5d2?pvs=21),Morgan Office,"Serial: spot-BD-52100020
WiFi-Password: v9azs6pyan07
Admin Password: rakny2-feznuq
New Params: Yes","September 12, 2026",,09/24/2025,Morgan
Spot 28,Ready,Falcon 33 (https://www.notion.so/Falcon-33-23732e888e428048bb20c04a1ba118ab?pvs=21),Morgan Office,"Serial: spot-BD-52100019
WiFi-Password: tsbk8njn93wd
Admin Password: pifmoB- 
New Params: Yes","September 11, 2026",,09/23/2025,Morgan
Spot 27,Ready,Falcon 40 (https://www.notion.so/Falcon-40-24532e888e4280e8bdc7dd3ac9ee3bc9?pvs=21),Morgan Office,"Serial: spot-BD-52100021
WiFi-Password: 5chd75kfd8n6
Admin Password: bihcun-cEvvuj
New Params: Yes","August 12, 2026",,09/23/2025,Morgan
Spot 26,Ready,Falcon 35 (https://www.notion.so/Falcon-35-23732e888e42804a8988f65f059e8ffc?pvs=21),Morgan Office,"Serial: spot-BD-52100022
WiFi-Password: xg8h9ww9ukos
Admin Password: pydxy4-qihhUq
New Params: Yes","August 14, 2026",,09/23/2025,Morgan
Spot 25,Ready,Falcon 38 (https://www.notion.so/Falcon-38-24532e888e428034bddcca99541ca94a?pvs=21),Morgan Office,"Serial: spot-BD-41230024
WiFi-Password: uqn3yo93ecrn
Admin Password: 3z5gek59itxo
New Params: Yes","September 15, 2026",,08/25/2025,
Spot 24,Ready,No Payload (https://www.notion.so/No-Payload-21732e888e4280ac9201c9e9723a6857?pvs=21),Germany,"Serial: spot-BD-41080029,
Wi-Fi Password: 6ba7giszu5mo,
Admin Password: 23361!Tangerine
New Params: Yes","December 9, 2025",,,
Spot 23,Ready,Falcon 26 (https://www.notion.so/Falcon-26-20e32e888e42800085edd013d70d3aa8?pvs=21),Houston - TX,"Serial: spot-BD-41080030,
Wi-Fi Password: mhgsmffpmt8p,
Admin Password: 23361!Tangerine
New Params: Yes","September 9, 2026","HP_Houston (https://www.notion.so/HP_Houston-26b32e888e4280a18b4ec26fb173ea43?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-26b32e888e4280d3b77cf6f01cab9a9b?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-26f32e888e428040a5aff9cbf5ce76b9?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-26f32e888e42808eabc2f17e95c57526?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-27632e888e4280ef9acec6f24b73a51a?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-27632e888e4280359ec7ccafd88b6366?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-27632e888e4280759a24c4d7ce60e7cc?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-27632e888e4280dc9a39da7f4a35f84d?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-27632e888e4280fa8978e29c2d495527?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-27632e888e4280558656e29081001993?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-27d32e888e428088bb31d46ae3e43a5f?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-27d32e888e4280ff9bd1f83ec2b8d737?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-28432e888e428017ad45c220c9d01d3b?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-28432e888e4280cfb76fe83193614e22?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-29232e888e4280e19d9cc6b30b542e2f?pvs=21), HP_Houston (https://www.notion.so/HP_Houston-29232e888e42800088b8fb7b0ce79b2e?pvs=21)",06/25/2025,
Spot 22,Ready,Falcon 32 (https://www.notion.so/Falcon-32-23732e888e4280ba9dc6d1c9cbd41884?pvs=21),Shodo - JP,"Serial: spot-BD-51400047
WiFi Password: 23361!Tangerine
Admin Password:
23361!Tangerine
New Params: Yes","May 22, 2026",,07/16/2025,
Spot 21,Ready,Falcon 28 (https://www.notion.so/Falcon-28-20e32e888e428020af8dee73743f5379?pvs=21),Mineral - VA,"Serial: spot-BD-51410015,
Wi-Fi Password: zcphf2j7okiq,
Admin Password: 407exkvdcrww 
New Params: Yes","May 24, 2026",,06/20/2025,Clark IAD 550
Spot 20,,No Payload (https://www.notion.so/No-Payload-21732e888e4280ac9201c9e9723a6857?pvs=21),Boston - MA,"Serial: ???
Wi-Fi Password: ???
Admin Password: ???
New Params: Not Yet",,,,
Spot 19,Ready,Falcon 22 (https://www.notion.so/Falcon-22-20e32e888e4280babbc5d5f82f5780bb?pvs=21),Tokyo - JP,"Serial: spot-BD-50210006,
Wi-Fi Password: yzwer34pmacw,
Admin Password: mmypb03p7zi7
New Params: Yes","January 22, 2026",,03/07/2025,Kajima
